team,season,season_start_year,season_end_year,rank,player,player_id,age,pos,gp,goals,assists,points,plus_minus,pim,ev_goals,pp_goals,sh_goals,gw_goals,ev_assists,pp_assists,sh_assists,shots_on_goal,shooting_pct,shot_attempts,toi,atoi,toi_minutes,atoi_minutes,faceoffs_won,faceoffs_lost,faceoff_pct,blocks,hits,takeaways,giveaways,awards
Vancouver Canucks,2025-26,2025,2026,1,Elias Pettersson,petteel01,27,C,60,15,25,40,-20.0,18,10,4,1,0,15,10,0,107,14.0,238,1144:49,19:05,1144.8166666666666,19.083333333333332,529,598,46.9,94,54,28,59,
Vancouver Canucks,2025-26,2025,2026,2,Filip Hronek,hronefi01,28,D,68,7,31,38,-4.0,20,4,3,0,1,21,8,2,102,6.9,241,1672:20,24:36,1672.3333333333333,24.6,0,0,,87,110,31,85,
Vancouver Canucks,2025-26,2025,2026,3,Brock Boeser,boesebr01,28,RW,61,16,20,36,-31.0,6,12,4,0,3,11,9,0,135,11.9,280,1153:40,18:55,1153.6666666666667,18.916666666666668,50,67,42.7,24,44,12,46,
Vancouver Canucks,2025-26,2025,2026,4,Jake DeBrusk,debruja01,29,LW,67,14,18,32,-25.0,8,3,11,0,0,13,5,0,175,8.0,304,1134:53,16:56,1134.8833333333334,16.933333333333334,12,17,41.4,29,58,11,39,
Vancouver Canucks,2025-26,2025,2026,5,Linus Karlsson,karlsli01,26,C,65,13,17,30,-20.0,28,11,2,0,1,16,1,0,95,13.7,175,772:00,11:53,772.0,11.883333333333333,12,29,29.3,14,76,14,39,
Vancouver Canucks,2025-26,2025,2026,6,Evander Kane,kaneev01,34,LW,65,12,17,29,-17.0,90,10,2,0,1,13,4,0,155,7.7,330,1076:48,16:34,1076.8,16.566666666666666,19,32,37.3,26,103,16,67,
Vancouver Canucks,2025-26,2025,2026,7,Drew O'Connor,oconndr01,27,F,68,16,10,26,1.0,36,14,0,2,2,9,0,1,106,15.1,218,969:55,14:16,969.9166666666666,14.266666666666667,50,50,50.0,22,60,15,53,
Vancouver Canucks,2025-26,2025,2026,8,Conor Garland,garlaco01,29,RW,50,7,19,26,-15.0,30,5,1,1,1,11,8,0,103,6.8,209,947:08,18:57,947.1333333333333,18.95,11,18,37.9,28,31,22,63,
Vancouver Canucks,2025-26,2025,2026,9,Kiefer Sherwood,sherwki01,30,RW,44,17,6,23,-12.0,22,10,6,1,2,2,4,0,109,15.6,231,771:44,17:32,771.7333333333333,17.533333333333335,13,19,40.6,21,210,18,47,
Vancouver Canucks,2025-26,2025,2026,10,Quinn Hughes,hughequ01,26,D,26,2,21,23,-10.0,12,0,2,0,0,11,10,0,74,2.7,190,713:08,27:26,713.1333333333333,27.433333333333334,0,0,,32,1,10,41,
Vancouver Canucks,2025-26,2025,2026,11,Tom Willander,willato01,20,D,56,4,14,18,-14.0,18,4,0,0,0,11,3,0,47,8.5,125,909:03,16:14,909.05,16.233333333333334,0,0,,56,15,8,47,
